,susceptible,infected,removed,vaccinated,population
06.05.2020,83035193.0,5980.0,158827.0,0.0,83200000.0
07.05.2020,83033909.0,5705.0,160386.0,0.0,83200000.0
08.05.2020,83032700.0,5394.0,161906.0,0.0,83200000.0
09.05.2020,83031449.0,5703.0,162848.0,0.0,83200000.0
10.05.2020,83030782.0,5715.0,163503.0,0.0,83200000.0
11.05.2020,83030425.0,5769.0,163806.0,0.0,83200000.0
12.05.2020,83029492.0,5730.0,164778.0,0.0,83200000.0
13.05.2020,83028694.0,5374.0,165932.0,0.0,83200000.0
14.05.2020,83027761.0,5075.0,167164.0,0.0,83200000.0
15.05.2020,83026848.0,4727.0,168425.0,0.0,83200000.0
16.05.2020,83026228.0,4407.0,169365.0,0.0,83200000.0
17.05.2020,83025645.0,4327.0,170028.0,0.0,83200000.0
18.05.2020,83025303.0,4309.0,170388.0,0.0,83200000.0
19.05.2020,83024790.0,4075.0,171135.0,0.0,83200000.0
20.05.2020,83023993.0,4002.0,172005.0,0.0,83200000.0
21.05.2020,83023248.0,3830.0,172922.0,0.0,83200000.0
22.05.2020,83022788.0,3487.0,173725.0,0.0,83200000.0
23.05.2020,83022150.0,3441.0,174409.0,0.0,83200000.0
24.05.2020,83021719.0,3417.0,174864.0,0.0,83200000.0
25.05.2020,83021430.0,3395.0,175175.0,0.0,83200000.0
26.05.2020,83020998.0,3260.0,175742.0,0.0,83200000.0
27.05.2020,83020636.0,2887.0,176477.0,0.0,83200000.0
28.05.2020,83020283.0,2801.0,176916.0,0.0,83200000.0
29.05.2020,83019542.0,2967.0,177491.0,0.0,83200000.0
30.05.2020,83018804.0,2962.0,178234.0,0.0,83200000.0
31.05.2020,83018518.0,2872.0,178610.0,0.0,83200000.0
01.06.2020,83018185.0,2969.0,178846.0,0.0,83200000.0
02.06.2020,83017972.0,2775.0,179253.0,0.0,83200000.0
03.06.2020,83017630.0,2425.0,179945.0,0.0,83200000.0
04.06.2020,83017236.0,2162.0,180602.0,0.0,83200000.0
05.06.2020,83016729.0,2158.0,181113.0,0.0,83200000.0
06.06.2020,83016322.0,2160.0,181518.0,0.0,83200000.0
07.06.2020,83016021.0,2105.0,181874.0,0.0,83200000.0
08.06.2020,83015807.0,2130.0,182063.0,0.0,83200000.0
09.06.2020,83015457.0,2324.0,182219.0,0.0,83200000.0
10.06.2020,83015139.0,2349.0,182512.0,0.0,83200000.0
11.06.2020,83014584.0,2421.0,182995.0,0.0,83200000.0
12.06.2020,83014326.0,2181.0,183493.0,0.0,83200000.0
13.06.2020,83013978.0,2083.0,183939.0,0.0,83200000.0
14.06.2020,83013731.0,2053.0,184216.0,0.0,83200000.0
15.06.2020,83013539.0,2083.0,184378.0,0.0,83200000.0
16.06.2020,83013161.0,2142.0,184697.0,0.0,83200000.0
17.06.2020,83012816.0,2065.0,185119.0,0.0,83200000.0
18.06.2020,83012236.0,2137.0,185627.0,0.0,83200000.0
19.06.2020,83011466.0,2625.0,185909.0,0.0,83200000.0
20.06.2020,83010865.0,2876.0,186259.0,0.0,83200000.0
21.06.2020,83010178.0,3280.0,186542.0,0.0,83200000.0
22.06.2020,83009641.0,3645.0,186714.0,0.0,83200000.0
23.06.2020,83009138.0,3899.0,186963.0,0.0,83200000.0
24.06.2020,83008551.0,3862.0,187587.0,0.0,83200000.0
25.06.2020,83007921.0,3420.0,188659.0,0.0,83200000.0
26.06.2020,83007444.0,3277.0,189279.0,0.0,83200000.0
27.06.2020,83006757.0,3128.0,190115.0,0.0,83200000.0
28.06.2020,83006501.0,2905.0,190594.0,0.0,83200000.0
29.06.2020,83006239.0,2904.0,190857.0,0.0,83200000.0
30.06.2020,83005741.0,2878.0,191381.0,0.0,83200000.0
01.07.2020,83005275.0,2775.0,191950.0,0.0,83200000.0
02.07.2020,83004772.0,2756.0,192472.0,0.0,83200000.0
03.07.2020,83004326.0,2642.0,193032.0,0.0,83200000.0
04.07.2020,83003904.0,2498.0,193598.0,0.0,83200000.0
05.07.2020,83003665.0,2402.0,193933.0,0.0,83200000.0
06.07.2020,83003446.0,2422.0,194132.0,0.0,83200000.0
07.07.2020,83003056.0,2388.0,194556.0,0.0,83200000.0
08.07.2020,83002659.0,2339.0,195002.0,0.0,83200000.0
09.07.2020,83002217.0,2299.0,195484.0,0.0,83200000.0
10.07.2020,83001822.0,2248.0,195930.0,0.0,83200000.0
11.07.2020,83001444.0,2203.0,196353.0,0.0,83200000.0
12.07.2020,83001196.0,2157.0,196647.0,0.0,83200000.0
13.07.2020,83001037.0,2174.0,196789.0,0.0,83200000.0
14.07.2020,83000625.0,2274.0,197101.0,0.0,83200000.0
15.07.2020,83000274.0,2237.0,197489.0,0.0,83200000.0
16.07.2020,82999740.0,2304.0,197956.0,0.0,83200000.0
17.07.2020,82999157.0,2464.0,198379.0,0.0,83200000.0
18.07.2020,82998628.0,2578.0,198794.0,0.0,83200000.0
19.07.2020,82998426.0,2496.0,199078.0,0.0,83200000.0
20.07.2020,82998177.0,2614.0,199209.0,0.0,83200000.0
21.07.2020,82997655.0,2809.0,199536.0,0.0,83200000.0
22.07.2020,82997201.0,2802.0,199997.0,0.0,83200000.0
23.07.2020,82996632.0,2843.0,200525.0,0.0,83200000.0
24.07.2020,82995817.0,3104.0,201079.0,0.0,83200000.0
25.07.2020,82995036.0,3348.0,201616.0,0.0,83200000.0
26.07.2020,82994731.0,3233.0,202036.0,0.0,83200000.0
27.07.2020,82994391.0,3405.0,202204.0,0.0,83200000.0
28.07.2020,82993758.0,3611.0,202631.0,0.0,83200000.0
29.07.2020,82993074.0,3773.0,203153.0,0.0,83200000.0
30.07.2020,82992172.0,3968.0,203860.0,0.0,83200000.0
31.07.2020,82991302.0,4141.0,204557.0,0.0,83200000.0
01.08.2020,82990347.0,4233.0,205420.0,0.0,83200000.0
02.08.2020,82990107.0,4127.0,205766.0,0.0,83200000.0
03.08.2020,82989598.0,4278.0,206124.0,0.0,83200000.0
04.08.2020,82988719.0,4641.0,206640.0,0.0,83200000.0
05.08.2020,82987978.0,4639.0,207383.0,0.0,83200000.0
06.08.2020,82986933.0,4783.0,208284.0,0.0,83200000.0
07.08.2020,82985786.0,5077.0,209137.0,0.0,83200000.0
08.08.2020,82984664.0,5281.0,210055.0,0.0,83200000.0
09.08.2020,82984109.0,5271.0,210620.0,0.0,83200000.0
10.08.2020,82983673.0,5407.0,210920.0,0.0,83200000.0
11.08.2020,82982707.0,5576.0,211717.0,0.0,83200000.0
12.08.2020,82981481.0,5853.0,212666.0,0.0,83200000.0
13.08.2020,82980036.0,6189.0,213775.0,0.0,83200000.0
14.08.2020,82978587.0,6472.0,214941.0,0.0,83200000.0
15.08.2020,82977172.0,6914.0,215914.0,0.0,83200000.0
16.08.2020,82976547.0,6837.0,216616.0,0.0,83200000.0
17.08.2020,82975986.0,7081.0,216933.0,0.0,83200000.0
18.08.2020,82974596.0,7391.0,218013.0,0.0,83200000.0
19.08.2020,82973086.0,7711.0,219203.0,0.0,83200000.0
20.08.2020,82971379.0,7902.0,220719.0,0.0,83200000.0
21.08.2020,82969952.0,7853.0,222195.0,0.0,83200000.0
22.08.2020,82967918.0,8498.0,223584.0,0.0,83200000.0
23.08.2020,82967136.0,8528.0,224336.0,0.0,83200000.0
