0 [1.00e-01, 1.00e-01]
1 [9.90e-02, 9.90e-02]
2 [9.81e-02, 9.82e-02]
3 [9.85e-02, 9.74e-02]
4 [9.91e-02, 9.66e-02]
5 [9.99e-02, 9.57e-02]
6 [1.00e-01, 9.48e-02]
7 [9.99e-02, 9.39e-02]
8 [9.94e-02, 9.30e-02]
9 [9.87e-02, 9.20e-02]
10 [9.79e-02, 9.10e-02]
11 [9.70e-02, 9.00e-02]
12 [9.61e-02, 8.90e-02]
13 [9.52e-02, 8.80e-02]
14 [9.42e-02, 8.69e-02]
15 [9.32e-02, 8.58e-02]
16 [9.23e-02, 8.48e-02]
17 [9.14e-02, 8.37e-02]
18 [9.06e-02, 8.25e-02]
19 [8.98e-02, 8.14e-02]
20 [8.90e-02, 8.03e-02]
21 [8.82e-02, 7.91e-02]
22 [8.73e-02, 7.80e-02]
23 [8.65e-02, 7.68e-02]
24 [8.55e-02, 7.57e-02]
25 [8.46e-02, 7.45e-02]
26 [8.36e-02, 7.33e-02]
27 [8.27e-02, 7.21e-02]
28 [8.19e-02, 7.10e-02]
29 [8.11e-02, 6.98e-02]
30 [8.04e-02, 6.86e-02]
31 [7.98e-02, 6.74e-02]
32 [7.93e-02, 6.62e-02]
33 [7.88e-02, 6.51e-02]
34 [7.83e-02, 6.39e-02]
35 [7.78e-02, 6.27e-02]
36 [7.74e-02, 6.15e-02]
37 [7.70e-02, 6.03e-02]
38 [7.66e-02, 5.92e-02]
39 [7.62e-02, 5.80e-02]
40 [7.60e-02, 5.68e-02]
41 [7.58e-02, 5.57e-02]
42 [7.58e-02, 5.45e-02]
43 [7.59e-02, 5.33e-02]
44 [7.60e-02, 5.22e-02]
45 [7.63e-02, 5.10e-02]
46 [7.67e-02, 4.99e-02]
47 [7.72e-02, 4.88e-02]
48 [7.77e-02, 4.76e-02]
49 [7.83e-02, 4.65e-02]
50 [7.89e-02, 4.54e-02]
51 [7.97e-02, 4.43e-02]
52 [8.04e-02, 4.32e-02]
53 [8.12e-02, 4.21e-02]
54 [8.21e-02, 4.11e-02]
55 [8.30e-02, 4.00e-02]
56 [8.40e-02, 3.89e-02]
57 [8.50e-02, 3.79e-02]
58 [8.61e-02, 3.69e-02]
59 [8.72e-02, 3.59e-02]
60 [8.84e-02, 3.50e-02]
61 [8.96e-02, 3.40e-02]
62 [9.07e-02, 3.30e-02]
63 [9.18e-02, 3.21e-02]
64 [9.29e-02, 3.12e-02]
65 [9.39e-02, 3.02e-02]
66 [9.48e-02, 2.93e-02]
67 [9.57e-02, 2.84e-02]
68 [9.65e-02, 2.76e-02]
69 [9.72e-02, 2.67e-02]
70 [9.78e-02, 2.58e-02]
71 [9.84e-02, 2.50e-02]
72 [9.90e-02, 2.42e-02]
73 [9.95e-02, 2.33e-02]
74 [1.00e-01, 2.25e-02]
75 [1.01e-01, 2.17e-02]
76 [1.01e-01, 2.10e-02]
77 [1.02e-01, 2.02e-02]
78 [1.02e-01, 1.94e-02]
79 [1.03e-01, 1.87e-02]
80 [1.04e-01, 1.80e-02]
81 [1.05e-01, 1.73e-02]
82 [1.05e-01, 1.66e-02]
83 [1.06e-01, 1.59e-02]
84 [1.07e-01, 1.52e-02]
85 [1.08e-01, 1.46e-02]
86 [1.09e-01, 1.40e-02]
